Word	Level	Original_Line
able	A2	able
absolute	B2	absolute
according to	A2	according to
accuse	B2	accuse
affair	B2	affair
afterwards	B2	afterwards
age	A1, B1	age
aged	B1	aged
agenda	B2	agenda
agent	B1	agent
ah	A2	ah
all right	A2	all right
alter	B2	alter
amazed	B1	amazed
analyse	B1	analyse
any more	A2	any more
anyway	A2	anyway
apart	B1	apart
apparent	B2	apparent
apparently	B2	apparently
appeal	B2	appeal
approximately	B1	approximately
armed	B2	armed
arms	B2	arms
army	A2	army
arrival	B1	arrival
aspect	B2	aspect
associated	B2	associated
association	B2	association
attack	A2	attack
backwards	B1	backwards
bacteria	B2	bacteria
bar	A2, B2	bar
based	A2	based
basically	B2	basically
basis	B1	basis
battle	B1, B2	battle
beer	A1	beer
beg	B2	beg
behaviour	A2	behaviour
being	B2	being
bell	B1	bell
bent	B2	bent
best	A1, A2	best
bet	B2	bet
better	A1, A2, B1	better
bird	A1	bird
blame	B2	blame
blank	A2	blank
blind	B2	blind
blonde	A1	blonde
blood	A2	blood
blow	A2	blow
bomb	B1	bomb
bond	B2	bond
boot	A1	boot
born	A1	born
bother	B1	bother
boyfriend	A1	boyfriend
broken	A2	broken
bubble	B1	bubble
bullet	B2	bullet
bunch	B2	bunch
bury	B1	bury
bye	A1	bye
cancer	B2	cancer
cannot	A1	cannot
cap	B1	cap
capacity	B2	capacity
capital	A1	capital
careless	B1	careless
cat	A1	cat
cd	A1	CD
ceiling	B1	ceiling
cell	B2	cell
cent	A1	cent
central	B1	central
centre	A1, B1	centre
century	A1	century
certainly	A2	certainly
chain	B1, B2	chain
champion	B1	champion
characteristic	B2	characteristic
cheat	B1	cheat
chemical	B1	chemical
chocolate	A1	chocolate
classic	B2	classic
clause	B1	clause
clever	A2	clever
closed	A2	closed
clothes	A1	clothes
clue	B1	clue
collapse	B2	collapse
collection	B1	collection
colour	A1	colour
coloured	B1	coloured
command	B2	command
commission	B2	commission
commonly	B2	commonly
competitive	B1	competitive
