Word	Classification
academy	Oxford 5000 Expanded (C1)
accessible	Oxford 5000 Expanded (C1)
accessory	External Word (Not in Oxford 3000/5000)
accord	External Word (Not in Oxford 3000/5000)
accountant	Oxford 5000 Expanded (B2)
accuracy	Oxford 5000 Expanded (B2)
ache	External Word (Not in Oxford 3000/5000)
adaptation	Oxford 5000 Expanded (C1)
adapter	External Word (Not in Oxford 3000/5000)
additionally	Oxford 5000 Expanded (B2)
administrative	Oxford 5000 Expanded (C1)
admirable	External Word (Not in Oxford 3000/5000)
aex	Spelling/Format Variant
agreed	External Word (Not in Oxford 3000/5000)
ai	Spelling/Format Variant
airplane	External Word (Not in Oxford 3000/5000)
aisle	External Word (Not in Oxford 3000/5000)
alert	Oxford 5000 Expanded (C1)
alien	Oxford 5000 Expanded (B2, C1)
allergy	External Word (Not in Oxford 3000/5000)
aloud	External Word (Not in Oxford 3000/5000)
ambulance	Oxford 5000 Expanded (B2)
analyze	Spelling/Format Variant
anchor	Oxford 5000 Expanded (C1)
anna	External Word (Not in Oxford 3000/5000)
anxiety	Oxford 5000 Expanded (B2)
anymore	Spelling/Format Variant
applicant	Oxford 5000 Expanded (B2)
appreciation	Oxford 5000 Expanded (C1)
aquarium	External Word (Not in Oxford 3000/5000)
ar	Spelling/Format Variant
arch	External Word (Not in Oxford 3000/5000)
asian	External Word (Not in Oxford 3000/5000)
assumption	Oxford 5000 Expanded (B2)
asteroid	External Word (Not in Oxford 3000/5000)
astronaut	External Word (Not in Oxford 3000/5000)
astronomer	External Word (Not in Oxford 3000/5000)
atlas	External Word (Not in Oxford 3000/5000)
atms	Spelling/Format Variant
augment	External Word (Not in Oxford 3000/5000)
australian	External Word (Not in Oxford 3000/5000)
automatically	Oxford 5000 Expanded (B2)
awareness	Oxford 5000 Expanded (B2)
backpack	External Word (Not in Oxford 3000/5000)
backup	Oxford 5000 Expanded (C1)
badge	Oxford 5000 Expanded (B2)
baggage	External Word (Not in Oxford 3000/5000)
baked	Spelling/Format Variant
bakery	External Word (Not in Oxford 3000/5000)
baking	External Word (Not in Oxford 3000/5000)
balanced	Oxford 5000 Expanded (B2)
balcony	External Word (Not in Oxford 3000/5000)
ballot	Oxford 5000 Expanded (C1)
bandage	External Word (Not in Oxford 3000/5000)
banker	External Word (Not in Oxford 3000/5000)
basket	Oxford 5000 Expanded (B2)
bat	Spelling/Format Variant
beautifully	External Word (Not in Oxford 3000/5000)
behavior	Spelling/Format Variant
beneath	Oxford 5000 Expanded (C1)
beside	Oxford 5000 Expanded (B2)
besides	Oxford 5000 Expanded (B2)
bias	Oxford 5000 Expanded (B2)
blackboard	External Word (Not in Oxford 3000/5000)
bleed	Oxford 5000 Expanded (C1)
bleeding	External Word (Not in Oxford 3000/5000)
bloom	Spelling/Format Variant
boarding	External Word (Not in Oxford 3000/5000)
bonus	Oxford 5000 Expanded (C1)
bookstore	External Word (Not in Oxford 3000/5000)
boutique	External Word (Not in Oxford 3000/5000)
breathtaking	External Word (Not in Oxford 3000/5000)
breeze	Spelling/Format Variant
broadcasting	External Word (Not in Oxford 3000/5000)
brochure	External Word (Not in Oxford 3000/5000)
browse	External Word (Not in Oxford 3000/5000)
browser	Oxford 5000 Expanded (C1)
bruise	External Word (Not in Oxford 3000/5000)
buffet	External Word (Not in Oxford 3000/5000)
builder	External Word (Not in Oxford 3000/5000)
buying	External Word (Not in Oxford 3000/5000)
cabin	Oxford 5000 Expanded (B2)
calculator	External Word (Not in Oxford 3000/5000)
calendar	External Word (Not in Oxford 3000/5000)
calmly	External Word (Not in Oxford 3000/5000)
calorie	External Word (Not in Oxford 3000/5000)
campsite	External Word (Not in Oxford 3000/5000)
canal	Oxford 5000 Expanded (B2)
candy	External Word (Not in Oxford 3000/5000)
carbohydrate	External Word (Not in Oxford 3000/5000)
carelessly	External Word (Not in Oxford 3000/5000)
caring	External Word (Not in Oxford 3000/5000)
carriage	Oxford 5000 Expanded (C1)
cart	External Word (Not in Oxford 3000/5000)
cashier	External Word (Not in Oxford 3000/5000)
center	External Word (Not in Oxford 3000/5000)
cereal	External Word (Not in Oxford 3000/5000)
certificate	Oxford 5000 Expanded (B2)
chalk	External Word (Not in Oxford 3000/5000)
challenging	Oxford 5000 Expanded (B2)
